pretty_comp,delta_e
SnF2,-2.33887026333
SrO,-3.062641785
LiH,-0.472610712
GeS2,-0.419752935
La4Ni3O10,-2.73043644835
RbBr,-2.04575143395
Hf3Si2,-0.79568573644
MgBr2,-1.81720200667
U2Cl3O4,-2.76903353176
Ca3WO6,-3.09679205465
KAlO2,-2.9294609155
GdF3,-4.4025346106
Li2O2,-1.63885019375
UF3,-3.90914353725
In6Se7,-0.60112766
PbO2,-0.9482270623
CeNi2,-0.37311372
AlAs,-0.602760032525
Ca2Sn,-1.084102642
CoSeO3,-1.20638859088
NaBH4,-0.331373349953
NaClO4,-0.66115751184
FeCl2,-1.17910845033
TiBr3,-1.4224960575
LaCoO3,-2.6080649028
Ca2Mg5Si8H2O24,-3.12444822439
UO2F2,-3.4276713744
Ce3Ru,-0.20410356911
ZrBr3,-1.5546405
RuS2,-0.711172024103
AsS,-0.181763385125
SnCl2,-1.15043397
CrI3,-0.5182135
RbNO2,-0.9509217725
Co9S8,-0.530406758824
ZnS,-1.051973405
AlAsO4,-2.3044954345
SbBr3,-0.67214363804
Fe2CuO4,-1.43318310048
FeHO2,-1.4509978
MgH2O2,-1.9160425949
Mg2SiO4,-3.2231991334
Te2Ru,-0.48953556491
Re3As7,-0.0988701609504
CoS2,-0.50784923
CaO,-3.2902411542
Na4SiO4,-2.42597619476
FeS2,-0.588345060333
RhCl3,-0.775252578135
Na2O2,-1.32975916061
ReBr3,-0.426051820092
RuSe2,-0.589201839987
GeS,-0.317146662
LiB3O5,-2.68537084114
CsBr,-2.101873956
ReSi,-0.27362709227
EuBr2,-2.48620872565
Sr3Cr2O8,-2.68155554962
NaCl,-2.1304793412
Ca2P2O7,-3.14074127048
Cu2S,-0.274639335973
Rb2Si4O9,-2.9829405487
Ca3Sb2,-1.50907087766
ThI2O,-2.593140354
ZrBr2,-1.4509978
Mn7C3,-0.114914880052
RbNO3,-1.0254408738
NaCd2,-0.101182913253
Cr2FeO4,-2.1480097636
MnS,-1.110013317
ZrF2,-3.3165664
FeClO,-1.40815881733
LaCl3,-2.776587933
Na3As,-0.53121029458
Sb2Te3,-0.117083085336
CeB6,-0.50178465144
V5B6,-0.719449935145
TlCl3,-0.816328771213
Ni3Sn2,-0.398949772256
WCl2,-0.88896416644
Mg2Ni,-0.136596932892
Rb2CO3,-1.95642870033
CsBO2,-2.492606935
TiCoO3,-2.5125063334
TiCo2O4,-2.169389772
Hf2Si,-0.66108496195
In4Se3,-0.50784923
NdI3,-1.6660564025
NiCO3,-1.43968830858
V2FeO6,-2.18843864221
NiB,-0.240670786524
Ga2O3,-2.261483714
AlClO,-2.74061009707
BaSi2O5,-3.30109772703
NbO2,-2.74639335973
KAlS2O8,-2.1334849795
Sr2MnO4,-2.7207541299
PbSeO3,-1.11522861766
LaH3O3,-2.097580187
TcO2,-1.49606164596
KAlSi2O6,-3.1447268034
LiFeO2,-1.9438188385
CeAl2,-0.56373337384
P4S5,-0.351152983456
NpH2O4,-2.0591731636
PbI2,-0.605940136037
U2C3,-0.379869151186
Na2TiO3,-2.68026931713
SbI3,-0.24934360766
K2CrO4,-2.078332257
RbCl,-2.2553687947
Li3Sb,-0.468332859557
CaH4SO6,-1.74692361917
NiS,-0.45532310964
Ti2Ni,-0.277530967303
CoSn,-0.15177436988
V2C,-0.508806197597
KCl,-2.26295544034
Mo2S3,-0.843865081962
La2Zr2O7,-3.84693436209
Na2CO3,-1.95326759798
MoBr3,-0.73586317
HfB2,-1.13613818691
K2PHO4,-2.30056996724
Cs2SO4,-2.136372169
WOF4,-2.5910675
Li2WO4,-2.3744986753
TiAl2O5,-3.37724920085
HfO2,-3.85412653733
UFe2,-0.111301204579
KAlH6S2O11,-1.66869682367
PtCl4,-0.475270183682
H4NCl,-0.543352036885
SiPbO3,-2.37339710146
MgSO4,-2.226245196
LiTl,-0.277530276352
SrCu2O2,-1.610607558
CaTe,-1.891479275
TbCl3,-2.6185328155
Mg3As2O8,-2.43939836732
SmS,-2.23325144252
As2O5,-1.37104486
CoB,-0.4878461889
Cr2S3O12,-1.77461298581
Zn3N2,-0.0459659520208
TiAl,-0.39027695112
NiSe2,-0.375822249227
AlCl3,-1.82834014216
Mg2V2O7,-2.67792950466
Au2O3,-0.006937842338
Mn4Si7,-0.290539696497
Sr4Al2O7,-3.28366382901
GdCl3,-2.6382249285
PtBr2,-0.34691284544
WCl6,-0.8790529631
Ti5Si3,-0.750199546477
Fe2B,-0.354140196387
K3CrO4,-2.005486245
WC6O6,-0.7588718494
Cs2Te4O9,-1.40656962927
GaAsO4,-1.73123038702
Rb2Si2O5,-2.84960997308
Ni4B3,-0.46151798188
UF6,-3.253936597
Al2FeO4,-2.9328959307
Co3S4,-0.51525228
CaAl12O19,-3.46344753891
Ba3N2,-0.752800460034
Cs2MoO4,-2.242531906
Ca2Si,-0.722040688577
Na3Bi,-0.494642558952
Pr6O11,-3.43749914101
K2B8O13,-2.68254344826
BeBr2,-1.23680288667
SmI3,-1.6225264685
K3Al2Cl9,-2.1174055549
Pr7O12,-3.64258269517
Co2P,-0.649449341497
CaGeO3,-2.66428070328
CrO3,-1.50581960616
CuCN,0.32812242393
BaMoO4,-2.6040228375
WF4,-2.564120398
H4NClO4,-0.306540904509
NaBr,-1.8715798766
Fe2N,-0.013009231704
CaAl2SiO6,-3.4183435314
BeI2,-0.7314065339
Cr2N,-0.43529934
TiB,-0.830421587345
PdS2,-0.270303616357
Cr5B3,-0.35498661177
Sb2S3,-0.424968235664
NpO2,-3.71040866
Mn2SiO4,-2.562195605
In2S3,-0.73718979656
ZrI3,-1.01569846
Ce2Ni7,-0.335456872333
Re2Te5,-0.1393846254
BH2O2,-1.46180773361
Cu2Te,-0.144547018933
GaI3,-0.564852715
CdSeO3,-1.1925129062
Sr2CuO3,-2.35597130883
IrCl3,-0.636368769067
FePH4O6,-1.63047240883
V2O3,-2.5222487472
CaTiSiO5,-3.37266301137
CsO2,-0.988405882333
ZrBr4,-1.574332613
CsTe2O6,-1.35311302778
RuCl3,-0.5962564531
As2Se3,-0.212484117832
TaFe2,-0.199474195177
Bi2Te3,-0.167901174
PuOF,-3.8998675156
Cr3B4,-0.44549778168
ZnSiAs2,-0.3794359247
Al4CO4,-2.65210153444
Pb4Cl2O3,-1.22094555357
Bi2S3O12,-1.55116542124
XeF6,-0.50044618
MgSeO3,-1.86596658797
MnSb,-0.19513847556
TiI4,-0.793903082
Al2CdO4,-2.8410388863
HgCl,-0.686443739573
EuCl3,-2.4236845395
FeF3,-2.566193252
Pb3Cl2O2,-1.23773517743
CuF,-1.3473551
InAs,-0.302838787265
Te3As2,-0.078055390224
ZrPt3,-1.07326161558
ReAsO4,-1.33279502803
Ge2Ru3,-0.36456319725
HgI2,-0.364131352667
Ba2SiO4,-3.3712453273
TaCl4,-1.46657322496
CoN2O6,-0.485446284602
Zr2S3,-2.11269425388
RhBr3,-0.546388767995
Er2O3,-3.9340696066
TlSe,-0.317642074106
Pb2SO5,-1.51770483279
LaAsO4,-2.68930350582
Sm2O3,-3.7873115434
CeNi,-0.315073808
Cs2Si2O5,-2.83408659979
Zr2Pt,-1.230238849
Na2Si2O5,-2.84554487607
CrC6O6,-0.858608016862
Si2N2O,-1.839657925
TiH2,-0.49868721532
BaZrO3,-3.66895158
AlCo,-0.57240826783
CsF,-2.8869674085
H4BrN,-0.46905576739
NaTl,-0.171721962136
FeO,-1.414722855
ZnCO3,-1.68469550567
Y2O3,-3.94878687
GeI2,-0.26947102
BiCl,-0.66130261162
Cr7C3,-0.153942575164
BiF3,-2.35900631257
TiF3,-3.653405175
NaVO3,-2.3802582482
FeCl3,-1.02606273
KSb,-0.472668751912
AlF3,-3.913548352
BN,-1.300715885
Th3N4,-1.94700215
CdN2O6,-0.526222777539
Li2Se,-1.38765138176
Ca3MgSi2O8,-3.37899632065
Th2N2O,-2.792134338
BaSiO3,-3.3537741293
UAl3,-0.295959503053
Li2O,-2.06552991587
Mg2Cu,-0.0988702991407
MnHO2,-1.653101065
PuF4,-3.6859489828
Co3As2O8,-1.48629212561
KO2,-0.979768990667
AlNi,-0.613601058945
NaAlO2,-2.93617178033
Tl2Se,-0.3252307926
SrTiO3,-3.46305499218
TlF,-1.7064770555
WO3,-2.18403411536
Sn3S4,-0.54824619324
La2S3,-2.53246791742
YCl3,-2.59100531438
MgTe,-1.084102642
Sb2Au,-0.0450983935267
Sr3N2,-0.810908776216
InI2,-0.608037173333
VO2,-2.47464220033
SrH2,-0.6218562
SrMoO4,-2.69652394725
MnF4,-2.275993692
CaFe2O4,-2.2510306074
Ca3P2,-1.04941135746
Tl2Te,-0.277530967303
UClO2,-3.03007206652
Li2Fe3O5,-1.8719944474
CaNb2O6,-3.0807792575
CrI2,-0.545851553333
NbSi2,-0.431844583333
NpF3,-3.9027695112
NaIn,-0.154810064563
ThBr2O,-3.0766335495
Li2S,-1.54231738297
LaF3,-4.40362285895
CaAl2,-0.7588718494
KAlSi3O8,-3.16357382977
HfSi,-0.75672644551
Cs2Te,-1.250967389
CePO4,-3.39913508433
MgUO4,-3.20749973203
RuF5,-1.54238820548
Na3VO4,-2.27824144306
TlBr,-0.89763906043
Ag2Se,-0.150328899691
InP,-0.386001689745
Si3Mo5,-0.401551981346
CuF2,-1.86176836767
SiPb4O6,-1.69699845948
Rb2O,-1.16770775333
InBr,-0.9084282655
Zr3Si,-0.63175407785
MnWO4,-2.25493695012
LiHO,-1.684193875
MgWO4,-2.61846372037
InCl,-0.963985934835
Rb2SO4,-2.126007899
Na2O,-1.44402610105
Ge3N4,-0.5885128628
Cs2UO4,-2.854912202
KHO,-1.46682058553
BaAl2O4,-3.4462086116
TaClO2,-2.710256605
Ti2CoO5,-2.77568105938
Cs2CrO4,-2.1172723
CaSn,-0.82391800792
Cu3P,-0.392445674618
UN,-1.506964858
V2O5,-2.29642611
MoC6O6,-0.784890153358
ThI4,-1.3780333392
CaH2O2,-2.0436267586
BaTiO3,-3.4405230692
NaCrO2,-2.12120331955
YbCl3,-2.48612926625
CaPb,-0.627043517135
Na2Ti3O7,-3.00560375243
BaN2O6,-1.14245117893
ErF3,-4.3884392034
UGe,-0.318726176748
BiI,-0.282732103465
UCd11,-0.0393890626593
BaBr2,-2.59797701333
Mg3Si2H4O9,-2.51368095067
AsI3,-0.150691303665
NiO,-1.2421577595
NbCl3O,-1.82302741736
Cs2MnO4,-1.75896468
TiZn2O4,-2.4426363475
MgB4,-0.26479673423
CaTiO3,-3.4421813524
MgN2O6,-0.90968234217
Li2ZrO3,-3.03982311722
MnO2,-1.79657365461
LiFe5O8,-1.797756662
CoH2O2,-1.1236941534
ThSi2,-0.60131421686
IrO2,-0.861512669967
TiBr4,-1.281023772
CaCO3,-2.5011056364
FeBr2,-0.845378956333
MnCl2,-1.66518234906
ZrCl3,-1.95703328275
ZrSiO4,-3.50906544147
In5S6,-0.729305413709
ZrPt,-1.56110780448
Ti3O5,-3.18591182131
USO6,-2.39044114347
Ni2P,-0.568069093457
TeCl4,-0.671277185068
CrBr3,-1.036427
In2Se3,-0.5716931332
ThCl2,-2.48187300604
UCl6,-1.5815283776
MnSO4,-1.84008976958
Na2B8O13,-2.66180138965
PdBr2,-0.357031827717
TiMn2O4,-2.5908898268
ThBr4,-2.00158306092
NiH2O2,-1.104831182
Bi2S3,-0.296627480254
ErH12Cl3O6,-1.35414369685
PuS2O8,-2.07358892096
Tb7O12,-3.67773393511
Mg3Al2Si3O12,-3.2572827756
AgCl,-0.65848353018
MgZn,-0.091064621928
HfI3,-1.02122520698
SrCrO4,-2.47274208417
Ca4Ti3O10,-3.45778262706
Ca2SiO4,-3.4279378842
Li2SiO3,-2.84931056083
GeF2,-2.27444596101
NiHO2,-1.010516325
NdF3,-4.35159422355
Tm2O3,-3.91491643564
NaPO3,-2.5290891654
LiAlO2,-3.08048128474
Th3Si5,-0.629863894109
HfF4,-4.001644647
ZnWO4,-2.1262299905
KCN,-0.392011238967
SrO2,-2.18844324855
H2WO4,-1.6756359492
PbBr2,-0.958346044577
CdF2,-2.41971847885
SiO2,-3.14624689633
SiPb2O4,-2.0400881007
Co3N,0.02168205284
Cu2O,-0.589381487333
InSe,-0.611434926515
NbFe2,-0.16030416409
SnBr2,-0.841264341143
U3O8,-3.36819930873
SnS2,-0.49001232133
Li2BeF4,-3.3663000899
CaZrO3,-3.65906406642
FeH3O3,-1.23778996
Zn2SiO4,-2.4352036853
YAsO4,-2.61716818662
Co2SiO4,-2.0859425924
AgClO3,-0.062790893368
SnS2O8,-1.55322719045
CoSi,-0.492616344167
H8SN2O4,-0.815909881967
InCl2,-1.2532233451
GaSe,-0.82391800792
EuS,-2.168205284
ReS3,-0.539882597503
LaTe,-1.56110780448
PrCl3,-2.7429040555
NbCl2,-1.40644180327
Sr2SiO4,-3.412065745
Na2Te,-1.084102642
ZnH2O2,-1.338027257
NiF2,-2.27115703267
TiS2,-1.40644180327
NaCN,-0.313377522477
BP,-0.40937830073
AgCN,0.504380654307
SiI4,-0.39287838289
Ba3As2O8,-2.72793964412
NpCl2O,-2.66473154902
TiFeO3,-2.57183141488
MgCl2,-2.22589972033
AgNO3,-0.249776834146
BaUO4,-3.4497472695
NaAlSiO4,-3.1013745426
Cs3AsO4,-2.16159806187
Ni3C,0.17464831377
TmCl3,-2.58148055025
LiF,-3.19701972768
Mo2C,-0.183575404997
Pb2Au,-0.02168205284
CoCO3,-1.477944902
ScBr3,-1.93284566764
Ga2S3,-1.07022695732
FeF2,-2.46324150333
Be3B2O6,-2.92494774702
Al2ZnO4,-3.0667726869
VF4,-2.90885674674
B5Mo2,-0.38051677
CeH2,-0.667807918423
VCl3,-1.5043737905
CaCrO3,-2.700928762
FeP2,-0.66412169306
PuN,-1.55048442773
InI3,-0.58039912
LaCrO3,-3.1805871776
Pu2O3,-3.46166618
CaUO4,-3.45030003057
B6PbO10,-2.53246669809
Cs2O2,-1.1400697
Na2Se,-1.18528555525
AlBr3,-1.3243386474
BaSO4,-2.52024498833
Mn5N2,-0.302340562
Ba3Bi2,-1.38765138176
HgSeO3,-0.757136870602
Li3AsO4,-2.20550370066
LaMg,-0.051018119075
FeP,-0.649917461025
Si2Ni,-0.3252307926
Fe3As2O8,-1.55860284015
UGe3,-0.27644617371
TaI5,-0.505914566267
In2Te3,-0.397214793458
CaAl2O4,-3.4393978056
Cs2RuO4,-1.428196406
WF6,-2.587069853
CaSO3,-2.40324619906
VB,-0.71767387615
CeAlO3,-3.66165513392
HfI4,-1.02339289405
Ni3Sn,-0.273194383998
Pb2CO4,-1.35977445668
HgBr2,-0.58541542668
InTe,-0.372931308848
PdO,-0.59842258553
KNO2,-0.94807159825
BeH2,-0.0656403766667
YRe2,-0.46905576739
InAsO4,-1.68989940564
CaC2,-0.205256766885
BW,-0.3425391235
AsBr3,-0.481342609475
Cu3As,-0.0303543557625
TaN,-1.30742674983
GeI4,-0.3109281
Ca3N2,-0.893395928292
YH2,-0.766099200347
P2O5,-2.2651704329
Ca3Si2O7,-3.4008279151
MnSiO3,-2.7380328486
MgO,-3.117572416
PbWO4,-1.93692659895
TaS2,-1.22298386
AlSb,-0.26092049725
CuCl2,-0.752791477667
Zr5Si3,-0.81022680725
Al4B2O9,-3.24161199936
Li3CrO4,-2.16224582875
MnB,-0.39027695112
Li2CO3,-2.10026749415
PuF6,-2.6637950632
CaMgSiO4,-3.3489473407
BiCl3,-0.982195957225
ThP,-1.8039011935
US2,-1.5177436988
ThS2O8,-2.39565390018
MnSn2,-0.0953996505933
P4S3,-0.33192166919
MnBi,-0.108819652865
PuF3,-4.02201043755
La2Se3,-1.93403911333
MnTe2,-0.4336410568
AlP,-0.852103640185
Cr2O3,-2.3642972724
MgF2,-3.88397563493
Ca3Al2H12O12,-1.97022628368
UF4,-3.980916107
MoCl5,-0.91064621928
SiB4,-0.138765138176
SiNi,-0.463995930776
Cs2Si4O9,-2.9765147013
H2O2,-1.185672488
UClO,-2.88082139639
TeBr4,-0.394613361688
CdO,-1.34212114365
CrF3,-3.0056383
CaCu2O3,-1.6460291781
BOF,-2.82589882649
NaHCO3,-1.64240859312
MgNi2,-0.190802064992
CsU2O6,-3.20964168117
GaTe,-0.6504615852
MoI3,-0.32129237
MoF5,-2.36650831667
H3AuO3,-0.62881654761
Na2Mo2O7,-2.22457749074
Si2Mo,-0.473647139
NdBr3,-2.26252273207
ThSi,-0.66346874405
K2Si2O5,-2.88472181667
Ca3Al2O6,-3.37766848268
Ta2C,-0.737248527423
TiClO,-2.64521044648
TiCl3,-1.8655686
SrCO3,-2.541319004
UH4O5,-1.8932412009
ThS,-2.04902136113
TiAl3,-0.1203291747
TiFe2O4,-2.2434794964
BHO2,-2.0847729105
PrBr3,-2.30913862746
Be2SiO4,-3.1767375916
BaC2,-0.255848223512
NdTe,-1.56110780448
WC,-0.207497349321
Mn3Ga2Ge3O12,-2.06435011646
HfCl3,-2.0055898877
MnSe,-0.88896416644
CuBr,-0.544124175
AuCl,-0.188633859708
LiClO4,-0.657688936147
K3Sb,-0.49868721532
WCl3,-0.7902755875
Be3As2O8,-2.18291457488
VBr2,-1.25900315301
Al2CO,-1.75624628004
BaH2,-0.656403766667
Fe3C,0.0648728161042
Ca2CuO3,-2.47522950897
InI,-0.5311688375
CeI3,-1.73420147775
InCl3,-1.373265775
HoBr3,-2.17904631042
Hg3As2O8,-1.01328278784
RbI,-1.728760236
Nb5Si3,-0.66130261162
Na2MoO4,-2.17501609
GdBr3,-2.14760629737
Cs4CrO4,-1.829293655
CoF3,-2.05212546
MgC2,0.30354873976
P4S7,-0.304653005618
Sr2TiO4,-3.3873543641
Fe3W2,-0.1084102642
Mn4N,-0.2666726671
MoI4,-0.254961042
Ho2O3,-3.8992456594
ThCl2O,-3.1927133735
TiFe2,-0.302103269571
KalH24S2O20,-1.30887774762
CaSe,-1.90802064992
SiNi2O4,-2.0779472984
Cd3As2,-0.112746674768
PtBr3,-0.339323608733
WCl3O,-1.421977844
YMn2O5,-2.60564225469
Ta2O5,-3.03376989
YI3,-1.59796833074
LaI3,-1.7619259
Ni5As2,-0.37178561283
Mn2Sb,-0.112745983817
Ag2S,-0.1132814711
Ni2B,-0.2201370948
V3B4,-0.72046334539
PuH3,-0.35775387186
CuH10SO9,-1.12354115703
MgTiO3,-3.25968728624
ThCl3,-2.4934360766
Na2SO4,-2.054938619
TiI3,-0.8939182875
